%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1614786226696698174,216,0,,42.2039144N,71.0514323W,10.9 m,330645.156223099,4674454.153977819,19,T
1614786227697565201,217,0,,42.2039137N,71.051433W,11.0 m,330645.09656220605,4674454.0776405,19,T
1614786228693875822,218,0,,42.203914N,71.0514329W,11.2 m,330645.1056195725,4674454.110753805,19,T
1614786229692193741,219,0,,42.2039154N,71.0514305W,11.1 m,330645.3074992916,4674454.261441886,19,T
1614786230699518493,220,0,,42.2039183N,71.0514234W,11.1 m,330645.9014091288,4674454.569352982,19,T
1614786231698743318,221,0,,42.2039243N,71.0514094W,11.2 m,330647.07325143856,4674455.2077806,19,T
1614786232699999609,222,0,,42.2039329N,71.0513904W,11.1 m,330648.664829929,4674456.12497947,19,T
1614786233700945063,223,0,,42.2039429N,71.051371W,11.2 m,330650.29317171755,4674457.196839912,19,T
1614786234701039916,224,0,,42.2039558N,71.0513535W,11.1 m,330651.7724012686,4674458.594490662,19,T
1614786235698141265,225,0,,42.2039697N,71.0513369W,11.1 m,330653.1799999445,4674460.104969401,19,T
1614786236700825738,226,0,,42.2039846N,71.0513223W,11.2 m,330654.4251541055,4674461.730461187,19,T
1614786237701777290,227,0,,42.2039993N,71.0513082W,11.2 m,330655.6284944479,4674463.334738424,19,T
1614786238701905060,228,0,,42.2040152N,71.0512926W,11.2 m,330656.95887704624,4674465.069284064,19,T
1614786239696227023,229,0,,42.2040315N,71.0512748W,11.4 m,330658.4719548167,4674466.843875792,19,T
1614786240699355501,230,0,,42.2040472N,71.0512571W,11.3 m,330659.9751730544,4674468.552042543,19,T
1614786241697345597,231,0,,42.2040643N,71.0512371W,11.7 m,330661.6720137111,4674470.411096763,19,T
1614786242700599169,232,0,,42.2040811N,71.0512181W,11.5 m,330663.2854942802,4674472.238825763,19,T
1614786243702378444,233,0,,42.204098N,71.0511972W,11.2 m,330665.0561008135,4674474.073885067,19,T
1614786244705348692,234,0,,42.2041147N,71.0511748W,10.9 m,330666.950008629,4674475.883757349,19,T
1614786245707029709,235,0,,42.2041296N,71.0511528W,10.7 m,330668.8060836226,4674477.494552861,19,T
1614786246706234301,236,0,,42.2041427N,71.0511315W,10.6 m,330670.5995586739,4674478.906867458,19,T
1614786247705100860,237,0,,42.2041534N,71.0511107W,10.5 m,330672.3453425901,4674480.053679919,19,T
1614786248705985439,238,0,,42.2041627N,71.0510897W,10.4 m,330674.10389738367,4674481.04463973,19,T
1614786249703660057,239,0,,42.2041721N,71.051069W,10.4 m,330675.83795153827,4674482.047299815,19,T
1614786250702402553,240,0,,42.2041822N,71.0510489W,10.4 m,330677.52434063144,4674483.128879941,19,T
1614786251712433675,241,0,,42.2041928N,71.0510296W,10.3 m,330679.14601883956,4674484.267569331,19,T
1614786252711083512,242,0,,42.2042032N,71.051012W,10.2 m,330680.6268143968,4674485.387427567,19,T
1614786253709033763,243,0,,42.2042156N,71.0509969W,10.3 m,330681.9065583333,4674486.734331195,19,T
1614786254706194302,244,0,,42.2042278N,71.050984W,10.7 m,330683.00414096937,4674488.063396546,19,T
1614786255708192871,245,0,,42.2042423N,71.0509787W,10.7 m,330683.4804301979,4674489.66294827,19,T
1614786256710401686,246,0,,42.2042551N,71.0509796W,10.7 m,330683.4403215438,4674491.086046178,19,T
1614786257705579863,247,0,,42.2042644N,71.0509842W,10.6 m,330683.0854005804,4674492.127853193,19,T
1614786258705853265,248,0,,42.2042726N,71.0509912W,10.5 m,330682.52940332633,4674493.052283085,19,T
1614786259707452976,249,0,,42.2042828N,71.0510038W,10.6 m,330681.5164272087,4674494.2099151835,19,T
1614786260706825006,250,0,,42.2042945N,71.0510209W,10.6 m,330680.1359500373,4674495.543044977,19,T
1614786261706667005,251,0,,42.2043075N,71.0510406W,10.7 m,330678.5442969394,4674497.025690969,19,T
1614786262709358261,252,0,,42.2043227N,71.0510631W,10.7 m,330676.72736096673,4674498.758186442,19,T
1614786263705157710,253,0,,42.2043386N,71.0510864W,10.8 m,330674.8462500289,4674500.5699993055,19,T
1614786264705429747,254,0,,42.2043545N,71.0511089W,10.8 m,330673.0311859546,4674502.380223708,19,T
1614786265701041937,255,0,,42.2043707N,71.0511321W,10.8 m,330671.159134147,4674504.225150964,19,T
1614786266700042669,256,0,,42.2043873N,71.051156W,10.7 m,330669.2303618379,4674506.115885109,19,T
1614786267703636640,257,0,,42.2044049N,71.0511811W,10.7 m,330667.20519342565,4674508.120043277,19,T
1614786268701661598,258,0,,42.2044229N,71.0512068W,10.7 m,330665.1315604722,4674510.169809825,19,T
